PAHI,HC,112,b'Introduction to Art History II: Renaissance to Today',"b'Major monuments and artists. Sequential development, from the Renaissance to  the modern period, of major styles in architecture, sculpture, painting,  graphic arts, and photography. Relationship of visual art to social and  cultural trends. Carries humanities divisional credit in CAS. This course  fulfills a single unit in each of the following BU Hub areas: Aesthetic  Exploration, Historical Consciousness.Summer:Major monuments and artists. Sequential development, from the Renaissance to the modern period, of major  styles in architecture, sculpture, painting, graphic arts, and photography. Relationship of visual art to  social and cultural trends. Carries humanities divisional credit in CAS. This course fulfills a single  unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness.'"
PAHI,HC,205,b'History of World Architecture',"b'An examination of patterns in world architecture and urbanism from pre-history  to the twentieth century. Lectures and discussions address questions of  program, spatial composition, structure, technology, iconography, and cultural  context for the examples considered Carries humanities divisional credit in  CAS. This course fulfills a single unit in each of the following BU Hub areas:  Historical Consciousness, Global Citizenship and Intercultural Literacy,  Research and Information Literacy.'"
PAHI,HC,234,b'The Art of Rome',"b'Roman architecture, painting, sculpture, and minor arts. Emphasis on developments  in Rome, Pompeii, and Central Italy and on the political and social role of Roman  art and architecture. This course fulfills a single unit in each of the following  BU Hub areas: Aesthetic Exploration, Historical Consciousness.'"
PAHI,HC,333,b'Arts of Classical Greece',"b'Examines architecture, sculpture, painting, and metalwork of the fifth and  fourth centuries B.C. in their original contexts. Addresses such larger issues  as development of portraiture; tension of ""real"" and ""ideal""; roles and  shifting iconographies of myth; and political use of monuments. This course  fulfills a single unit in each of the following BU Hub areas: Aesthetic  Exploration, Historical Consciousness.'"
PAHI,HC,386,b'Modern American Art',"b'This class explores the diverse and contested field of modern art in the  United States, examining the broad range of artists and art practices that  laid claim to aesthetic modernism in the years between 1890 and 1945. This  course fulfills a single unit in each of the following BU Hub areas:  Aesthetic Exploration, Historical Consciousness.'"
PAHI,HC,392,b'Twentieth Century Art from 1940 to 1980',"b'Explores major currents in European and American art made between 1940 and 1980.  Examines the following movements and media in relation to postwar culture and  politics: abstract expressionism, pop art, minimalism, conceptual art,  earthworks, performance, and video. This course fulfills a single unit in each of  the following BU Hub areas: Aesthetic Exploration, Historical Consciousness.'"
PAHI,HC,395,b'History of Photography',"b'An introduction to the study of photographs. The history of the medium in  Europe and America from its invention in 1839 to the present. After lectures on  photographic theory and methodology, photographs are studied both as art  objects and as historical artifacts. This course fulfills a single unit in each  of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness,  Critical Thinking.'"
PAHI,HC,398,b'Twentieth-Century Architecture',"b'This course provides an introduction to the major developments in architecture  and urban planning from ca. 1900 to the present. It traces the proliferation of  modernist thought through key projects but also to everyday buildings and  landscapes. This course fulfills a single unit in each of the following BU Hub  areas: Historical Consciousness, Global Citizenship and Intercultural Literacy.'"
PAHI,HC,337,b'Creation and Evolution',"b'A critical survey of the creation/evolution dispute in historical and  intellectual context. By discussing key texts and issues, participants will  gain understanding of the history of science, its relationship to ethical and  religious ideas, and the polarization of American society. This course fulfills  a single unit in each of the following BU Hub areas: Historical Consciousness,  Scientific Inquiry I, Critical Thinking.'"
PAHI,HC,100,b'Great Discoveries in Archaeology',"b'Illustrated lectures focus on the important discoveries of the discipline of  archaeology. Course covers the whole of human prehistory around the world.  Archaeological methods are described, along with the great ancient sites:  Olduvai, Lascaux, Stonehenge, Egyptian pyramids, Machu Picchu. This course carries humanities divisional credit in CAS. This course  fulfills one unit in each of the following BU Hub areas: Historical  Consciousness, Social Inquiry I.Summer:Illustrated lectures focus on the important discoveries of the discipline of archaeology. Course covers the  whole of human prehistory around the world. Archaeological methods are described, along with the great  ancient sites: Olduvai, Lascaux, Stonehenge, Egyptian pyramids, Machu Picchu. This course carries humanities  divisional credit in CAS. Course fulfills Archaeology Undergraduate area requirement. This course fulfills one unit in each of the following BU Hub areas: Historical  Consciousness, Social  Inquiry I.'"
PAHI,HC,150,b'Archaeology of Cities',"b'An introduction to the archaeology of cities and urbanism. The course includes  introductory urban theory, exposure to ancient and early modern cities from  geo-temporal contexts that Archaeology Department faculty specialize in, and  comparison of cities and urbanism organized along central themes. Carries  social science divisional credit in CAS. This course fulfills a single unit in  each of the following BU Hub areas: Historical Consciousness, Social Inquiry I.'"
PAHI,HC,205,b'Origins of Civilization',"b'The comparison of origins and institutions of civilizations in the Old and New Worlds, including  the first state-organized societies of Mesopotamia, Egypt, the Indus Valley, China,  Mesoamerica, and Peru. Carries social science divisional credit in CAS. This course fulfills a  single unit in each of the following BU Hub areas: Historical Consciousness and Social Inquiry I.'"
