DCEGC,ER,211,b'Humans Among Animals',"b'Examines how humans understand (other) animals and their thought, feeling, and  communication, and ways we humans in varied cultures and societies use animals for  interaction and self-understanding. The approach is interdisciplinary, considering language,  aesthetics, ideology, practice, and regulation.'"
DCEGC,ER,233,b'The Evolutionary Biology of Human Variation',"b'Addresses human biological variation. An introduction to the fundamentals of  comparative biology, evolutionary theory, and genetics and considers how  research in these fields informs some of our most culturally-engaged  identities: race, sex, gender, sexuality, and body type. Carries natural  sciences divisional credit (without lab) in CAS. Also offered as CAS WS 233.  This course fulfills a single unit in each of the following BU Hub areas:  Scientific Inquiry I, Ethical Reasoning, Critical Thinking.'"
DCEGC,ER,302,b'Transforming Life: Anthropology of New Medical Technologies',"b'Seminar anthropologically compares the role of science and medicine in   society and   troubles what is natural and moral, e.g., about gender,   personhood, kinship, and   community, using case studies of new reproductive   technologies in Asia, the Middle   East, and North America. This course   fulfills a single unit in each of the following   BU Hub areas: Ethical   Reasoning, Global Citizenship and Intercultural Literacy, Writing- Intensive  Course.'"
DCEGC,ER,202,b'From Enlightenment and Romantic Revolt to the Modern World: Core Humanities 4',"b""Through Voltaire, Kant, Austen, the English Romantic Poets, Whitman and  Dickinson, as well as the music of Beethoven, we examine questions of social  hierarchy and what it means to know, the relation of subjectivity to reason,  and our relationship with nature. Then, from the radical perspective of  Nietzsche, returning to 20th-century America with W.E.B. DuBois' The Souls  of Black Folk, and ending with Virginia Woolf's Modernist response to World  War I, we see the roots of the modern world's questioning of what is  knowable and our revaluation of the moral and philosophic bases of human  life. Carries humanities divisional credit in CAS. This course fulfills a  single unit in each of the following BU Hub areas: Philosophical Inquiry and  Life's Meanings, Ethical Reasoning, Writing-intensive Course."""
DCEGC,ER,130,b'Science/Fiction',"b'Through readings in British and/or American literature, an exploration of some  of the following topics: science and technology as literary themes; historical  construction of science and art; similarities and differences between literary  and scientific methods; the development of science fiction. Carries humanities  divisional credit in CAS. This course fulfills a single unit in each of the  following BU Hub areas: Aesthetic Exploration, Ethical Reasoning, Writing- intensive Course.'"
DCEGC,ER,141,b'Introduction to Fiction',"b'Introduces critical concepts for analyzing works of fiction. Readings in different periods,  genres, and traditions, ranging from canonical masterpieces to unheralded literary gems, aimed  to cultivate an appetite for the pleasures, and rigors, of narrative art. Topics vary by instructor.  This course cannot be taken for credit in addition to the course with the same number that was  previously titled ""Literary Types: Fiction."" Carries humanities divisional credit in CAS. This   course fulfills a single unit in each of the following BU Hub areas: Aesthetic  Exploration, Ethical  Reasoning.'"
DCEGC,ER,180,b'Post-Apocalyptic Narratives',"b'Why is contemporary culture drawn to stories of zombies, social collapse, and  environmental disaster? What fascinates us about dystopia? Stories, novels,  graphic novels, film, and television all examined to explore questions of  narrative, interpretation, genre, politics, ""high"" vs. ""popular"" culture. This  course fulfills a single unit in each of the following BU Hub areas: Aesthetic  Exploration, Ethical Reasoning.'"
DCEGC,ER,142,b'Introduction to Beach and Shoreline Processes',"b'Coastal processes including tidal currents, wave action, longshore transport,  and estuarine circulation; barrier island and spit formation; study of beaches,  dunes, and marshes; effects of tectonics, glaciers, and rivers on beaches and  coastal morphology. Cape Cod field trip. Carries natural science divisional  credit (without lab) in CAS. This course fulfills a single unit in each of the  following BU Hub areas: Scientific Inquiry I, Ethical Reasoning, Critical  Thinking.'"
DCEGC,ER,100,b'Environmental Change and Sustainability',"b""Introduces natural and social science concepts that underlie global    environmental change and  sustainability. Topics include climate change,    biodiversity, energy, water, pollution, deforestation,  agriculture,    population growth. Sustainable development illustrated with ecological    footprint based on  student's lifestyle. Carries social science divisional    credit in CAS.  This course fulfills a single unit in each of the following    BU Hub areas: Social Inquiry I, Ethical Reasoning. Summer:Introduces natural and social science concepts that underlie global environmental change and sustainability. Topics include climate change, biodiversity, energy, water, pollution, deforestation, agriculture, population growth. Sustainable development illustrated with ecological footprint based on student's lifestyle. Carries social science divisional credit in CAS. This course fulfills a single unit in each of the following BU Hub areas: Social Inquiry I, Ethical Reasoning."""
DCEGC,ER,306,"b'American Thought and Culture, 1900 to the Present'","b'History 306 examines American thought in the 20th century when thinkers  anointed their times ""modern"" and themselves ""modernists"" in revolt against  the moral certainties and progressivist faiths of the 19th century. Four  discourses driving this turn are spotlighted in the course\'s first half:  philosophical pragmatism, social science relativism, non-rational modern  art, and debates over America\'s role in the world. In the second half we  consider post-World II conservative, multicultural, and postmodernist  challenges to modernist norms in science, religion, liberal politics, and  popular culture. This course fulfills a single unit in each of the following  BU Hub areas: Historical Consciousness, Ethical Reasoning, Critical  Thinking.'"
