neuroscience,101,Introduction to Neuroscience,"b'ctical foundations rooted in psychology, biology,  neuropharmacology, and clinical sciences (e.g., neurology and neuropsychiatry).  Neuroethical dilemmas are highlighted and integrated when relevant to  discussion topics. Carries natural science divisional credit in CAS. This  course fulfills a single unit in the following BU Hub area: Scientific Inquiry  I.'"
neuroscience,102,Introduction to Cellular and Molecular Biology,"b'tructure and function of ion channels,   synapses, and glia; mechanisms of signal transduction; neuroendocrinology; and   sensory systems and transduction. Project labs focused on anatomy and   physiology of neurons. This course fulfills a single Hub unit in each of the   following BU Hub areas: Scientific Inquiry II, Ethical Reasoning, Writing- Intensive Course, Teamwork/Collaboration.'"
neuroscience,116,Introduction to Cell and Molecular Biology with Integrated Science Experience 1 Lab,"b'oratory focuses on projects relating to enzymes and their function. 3 lecture  hours (meets with CAS NE 102 lecture), 3 hours lab.'"
neuroscience,191,Undergraduate Research in Neuroscience,b''
neuroscience,192,Undergraduate Research in Neuroscience,b''
neuroscience,202,Introduction to Cognitive Neuroscience,"b'roduces research  methods and human neuroanatomy, and provides a survey of topics including learning and memory,  attention, perception, language, social cognition, and executive function. Also offered as CAS PS 339.'"
neuroscience,203,Principles of Neuroscience with Lab,"b'ganization; automatic nervous system; mechanisms of sensory perception; reflexes and motor function; biorhythms; and neural mechanisms of feeding, mating, learning, and memory. Project labs focus on animal behavior, electrophysiology, and learning and memory. Lecture portion meets with CAS BI 325.'"
neuroscience,204,Introduction to Computational Models of Brain and Behavior,b'systems. Combines a systems-level overview of brain function with an introduction to modeling of  brain and behavior using neural networks.'
neuroscience,212,Introduction to MATLAB Programming for Research in Psychological & Brain  Sciences,"b'eps of  neuroscience research (experiment control; random samples; data analysis;  brain process simulation) promote ""constructive"" understanding of the  quantitative reasoning behind decisions based on descriptive and inferential  statistics (e.g., confidence intervals, linear regression models, model- specific anovas). Explains numerical integration programs in two settings:  probability distributions, and simulations of neural dynamics. Also listed  as CAS NE 212 This course fulfills a single unit in each of the following BU  Hub areas: Quantitative Reasoning I, Critical Thinking.'"
neuroscience,218,Fundamentals of Neuroscience with Integrated Science Experience II Lab,"b'rimentally. Laboratory focuses on synthesizing compounds and testing in biological systems.  3 lecture hours (meets with CAS NE 203 lecture), 1 discussion hour, 4 hours lab, 2 hour lab discussion.'"
neuroscience,230,Behavioral Endocrinology,"b'on, fluid homeostasis and  feeding, biological rhythms including seasonal reproduction, stress, learning and memory, psychiatric  illness, and steroid abuse. Three hours lecture, one hour discussion. Also offered as CAS BI 230.'"
neuroscience,234,Psychology of Learning,"b'te  behaviors with their consequences? How is memory applicable to learning? What are  the different memory processes and systems responsible for learning? The aim of this  course is to review the major traditional and current theories of learning and  memory. Students will begin with an understanding of simple learning, including  theories and basic principles of classical and operant conditioning. Students will  then be introduced to the memory system, the three stages of memory, implicit and  explicit memory processes. Carries social science divisional credit in CAS. This  course fulfills a single unit in each of the following BU Hub areas: Scientific  Inquiry I, Social Inquiry I, Critical Thinking.'"
neuroscience,291,Undergraduate Research in Neuroscience,b''
neuroscience,292,Undergraduate Research in Neuroscience,b''
neuroscience,322,Experimental Psychology: Physiological,b'olved in  behavior. Experiments are performed on rodents and resulting data are analyzed. Research reports  required. Also offered as CAS PS 322.'
neuroscience,323,Experimental Psychology: Learning,b'erimental  analyses of selected topics in learning within the context of reinforcement theory. Required  reports of instructor- planned and student-planned experiments using a virtual rat. Also offered  as CAS PS 323.'
neuroscience,327,Experimental Psychology: Perception,"b'Students learn to   think critically about the relation between theory and experiment, conduct perception experiments, and   write experimental reports. Also offered as CAS PS 327.'"
neuroscience,328,Experimental Psychology: Memory & Cognition,b'study of memory and cognition. Methods are illustrated in the laboratory where students perform  experiments using themselves as subjects and analyze and model their data using computers. Also offered  as CAS PS 328.'
neuroscience,333,Drugs and Behavior,"b'roscience approach to behavior. Several classes of drugs are discussed, including abused and addictive substances and psychoactive and therapeutic agents. Also offered as CAS PS 333.'"
neuroscience,337,Memory Systems of the Brain,b'of memory. Includes  experimental studies of amnesia in humans and experimental models of amnesia in animals. Focus on  evidence for multiple forms of memory and distinct brain systems that mediate them. Also offered as CAS  PS 337.'
